seg 	mean	sd
i 	87	19
e 	110	19
eh 	113	17
a 	132	45
oh 	119	18
o 	111	20
u 	103	14
iN 	128	16
eN 	134	15
aN	134	15
oN 	137	18
uN 	128	10
I 	55	14
E 	51	13
A 	59	15
O 	51	14
U 	47	15
IN 	89	25
EN 	82	26
AN 	93	34
ON 	88	19
UN 	98	16
eI 	126	13
ehI	134	13
aI 	135	12
ohI 	133	12
oI 	131	14
uI 	122	13
aNI 	143	18
oNI 	120	10
iU 	145	23
eU 	134	17
ehU 	143	15
aU 	145	15
ohU	138	19
oU 	133	14
aNU 	140	13
IU 	61	16
IO 	61	16
UU 	63	18
UO 	63	18
II 	49	14
IE 	49	14
UI 	106	14
UE 	106	14
IA 	80	17
UA	70	16
ANU 	96	26
p 	80	16
t 	81	20
k 	80	22
b 	59	18
d 	58	20
g 	52	20
f 	89	28
s 	96	24
sh 	104	19
v 	57	19
z 	64	25
zh 	65	17
S	74	31
m 	61	13
n 	51	17
nh 	84	27
r 	78	24
R 	30	10
l 	47	13
lh	72	24
